district,number of apartments,1 room,2 rooms,3 rooms ,4 rooms,5 rooms,balcony,built-in kitchen,basement,garden,elevator,stepless,guest toilet,flat share possible,Private offer,Estate agent,Booking House of Co,Degewo,HousingAnywhere B.V.,Howoge,Numa Group,Tauschwohnung Wohnungstausch,Visionapartments,Wohnungsswap.de,avg €/m²,avg €/ 1 room,avg €/ 2 room,avg €/ 3 room,avg €/ 4 room,avg €/ 5 room
Marienfelde,15,6,3,4,2,0,4,3,3,0,0,0,1,0,1,11,0,0,3,0,0,0,0,0,25.59,1308,1349.8,1921.47,2305.5,0
Märkisches Viertel,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,9.23,0,600,0,0,0
Marzahn,14,3,6,4,1,0,10,1,3,0,8,0,0,2,2,6,1,0,5,0,0,0,0,0,12.62,424.88,836.88,1039.5,627.83,0
Mitte,374,176,117,50,16,6,92,119,44,24,68,45,17,0,28,120,0,2,126,12,2,8,0,76,41.86,2114.98,2574.32,3244.13,5522.19,6633.54
Moabit,130,70,37,16,3,3,26,29,17,5,19,3,1,0,7,25,0,0,66,0,0,3,0,29,35.44,1604.24,1668.45,2413.44,2553,5117.67
Müggelheim,2,0,2,0,0,0,1,1,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,17.54,0,1019.5,0,0,0
Neu-Hohenschönhausen,23,6,9,6,2,0,2,0,13,0,18,12,2,0,1,4,0,0,16,0,0,0,0,2,13.20,522.88,754.8,873.67,1117.75,0
Neukölln,179,61,86,22,3,3,50,18,19,4,14,18,0,0,6,19,0,0,111,0,1,6,0,36,25.99,1616.04,1308.51,1347.47,1523.33,5436.67
Niederschöneweide,8,5,2,0,1,0,5,6,4,2,1,0,0,0,1,6,0,0,1,0,0,0,0,0,24.34,802.65,1015.68,0,4775,0
Niederschönhausen,15,1,8,6,0,0,6,6,4,1,1,0,0,0,2,6,0,0,4,0,0,0,0,3,20.82,1300,1810.57,1976.45,0,0
Nikolassee,2,0,0,1,0,0,2,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,22.58,0,0,1700,0,0
Oberschöneweide,50,38,6,5,0,0,7,6,6,1,0,0,0,0,1,29,0,0,10,0,0,3,0,7,46.04,1736.55,804.14,1415.68,0,0
Pankow,54,19,21,10,3,0,27,17,12,2,11,2,0,0,10,11,1,0,27,1,0,0,0,4,27.87,1074.13,1285.44,1820.7,2036,0
Plänterwald,7,3,3,1,0,0,2,1,1,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,29.23,1790,1245,1995,0,0
Prenzlauer Berg,353,165,115,52,12,3,81,62,33,14,16,12,8,3,18,48,1,0,171,10,0,17,0,88,32.02,1638.12,1764.19,2335.77,3617.04,4121.33
Rahnsdorf,11,3,3,4,0,0,7,7,1,5,0,0,0,0,0,8,0,0,2,0,0,0,0,1,23.49,1533.33,1112.33,1717.5,0,0
Reinickendorf,36,10,19,6,0,0,16,10,6,3,1,0,0,0,7,11,0,0,12,0,0,1,0,5,21.60,1087.4,1291.31,1820.33,0,0
Rosenthal,6,0,4,0,2,0,3,1,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,20.63,0,2099.75,0,1600,0
Rummelsburg,25,8,13,3,1,0,7,5,2,2,1,4,0,0,2,2,0,0,18,0,0,0,0,3,22.28,1447.38,1080.23,1551.67,4700,0
Schmargendorf,37,20,10,4,2,0,16,13,3,5,4,2,1,0,6,10,0,0,3,17,0,0,0,1,40.45,2047.41,2011.72,3610.28,11500,0
Schmöckwitz,10,6,0,2,2,0,2,1,1,2,0,1,2,0,2,2,0,0,2,0,0,0,0,4,27.50,995.67,0,1885,3285.5,0
